reportDate,strategy_return,equal_weight_return,strategy_cumulative_return,equal_weight_cumulative_return
2007/12/06,-0.013416111,-0.004735902,1.06059484,1.133815818
2007/12/07,-0.003690412,0.004253987,1.056680808,1.138639056
2007/12/10,-0.008789811,-0.003509833,1.047392783,1.134642623
2007/12/11,0.011908132,0.007614565,1.059865275,1.143282433
2007/12/12,-0.010254192,-0.005875555,1.048997213,1.136565015
2007/12/13,-0.014724598,-0.024744182,1.033551151,1.108441643
2007/12/14,-0.016964332,-0.030055043,1.016017647,1.075127382
2007/12/18,-0.009874963,-0.014214455,1.00598451,1.059845033
2007/12/19,-0.011326768,-0.007724215,0.994589957,1.051658562
2007/12/20,0.006460983,0.006748098,1.001015986,1.058755257
2007/12/21,0.020505302,0.022074715,1.021542121,1.082126977
2007/12/24,0.010801,0.00975213,1.032575797,1.09268002
2007/12/27,0.00446409,0.013226746,1.037185308,1.107132622
2007/12/28,-0.005358291,-0.000190263,1.031627767,1.106921976
2007/12/31,-0.006367919,-0.015718334,1.025058445,1.089523007
2008/01/02,0.007196044,0.007769466,1.03243481,1.097988019
2008/01/03,0.012859621,-0.003587807,1.045711531,1.094048649
2008/01/04,-0.001347029,-0.002643026,1.044302927,1.091157051
2008/01/07,-0.00433926,-0.009672584,1.039771425,1.080602742
2008/01/08,0.013777886,0.009216497,1.054097277,1.090562114
2008/01/09,0.000625721,-0.006604384,1.054756848,1.083359623
2008/01/10,-0.008806109,-0.018287973,1.045468544,1.063547171
2008/01/11,0.000429589,-0.012774138,1.045917666,1.049961273
2008/01/14,0.010005915,0.014048757,1.056383029,1.064711924
2008/01/15,-0.011310864,-0.011893701,1.044434424,1.052048559
2008/01/16,-0.023619575,-0.028272712,1.019765327,1.022304293
2008/01/17,0.01085653,0.007669519,1.030836439,1.030144875
2008/01/18,-0.021888517,-0.009865888,1.008272958,1.019981581
2008/01/21,-0.033275763,-0.034902962,0.974721906,0.984381203
2008/01/22,0.002937897,0.004763584,0.977585539,0.989070385
2008/01/23,0.000756687,-0.003179752,0.978325265,0.985925387
2008/01/24,0.036177372,0.040226776,1.013718502,1.025585987
2008/01/25,-0.015353001,-0.017455854,0.998154881,1.007683507
2008/01/28,-0.020064024,-0.02710182,0.978127878,0.98037345
2008/01/29,0.019311355,0.021378887,0.997016852,1.001332744
2008/01/30,0.013795872,0.01087542,1.01077157,1.012222658
2008/01/31,0.011281105,0.004887115,1.02217419,1.017169506
2008/02/01,0.014959972,0.022820395,1.037465887,1.040381716
2008/02/04,-0.006104011,0.002262126,1.031133183,1.042735191
2008/02/05,-0.0137292,-0.027379942,1.016976549,1.014185162
2008/02/06,0.013468277,0.0043905,1.030673471,1.018637942
2008/02/07,-0.000140897,-0.006863027,1.030528252,1.011647002
2008/02/08,-0.01101824,-0.005119125,1.019173644,1.006468254
2008/02/11,-0.015310273,-0.010731311,1.003569818,0.99566753
2008/02/12,0.005796491,0.018882072,1.009387001,1.014467796
2008/02/13,0.004144074,0.009317715,1.013569975,1.023920318
2008/02/14,0.007151526,0.013909023,1.020818548,1.038162049
2008/02/15,-0.010240558,-0.012805976,1.010364796,1.024867371
2008/02/18,0.008029229,0.013538425,1.018477246,1.038742461
2008/02/19,0.019066026,0.023938007,1.037895559,1.063607885
2008/02/20,0.003711974,-0.006585079,1.041748201,1.056603943
2008/02/21,0.019043609,0.017305333,1.061586846,1.074888826
2008/02/22,-0.006918699,-0.002652596,1.054242046,1.07203758
2008/02/25,-0.011949983,-0.002784271,1.041643872,1.069052737
2008/02/26,0.012087794,0.027833995,1.054235048,1.098808746
2008/02/27,-0.00354977,-0.002720623,1.050492756,1.095819301
2008/02/28,0.003031801,0.000613248,1.053677642,1.096491311
2008/02/29,0.016530702,0.007736197,1.071095672,1.104973983
2008/03/03,0.006372591,-0.005856991,1.077921327,1.09850216
2008/03/04,0.010719314,-0.003054059,1.089475904,1.095147269
2008/03/05,-0.008049534,-0.013387645,1.080706131,1.080485827
2008/03/06,0.010201129,0.008475964,1.091730554,1.089643986
2008/03/07,-0.000340463,-0.011243559,1.091358861,1.07739251
2008/03/10,-0.00659839,-0.00454395,1.084157649,1.072496892
2008/03/11,0.011864326,0.017207965,1.097020449,1.090952381
2008/03/12,0.000975146,0.01077057,1.098090204,1.10270256
2008/03/13,-0.005124707,-0.011168361,1.092462813,1.09038718
2008/03/14,0.00683004,-0.000816957,1.099924378,1.089496381
2008/03/17,-0.008611886,-0.024417926,1.090451954,1.062893139
2008/03/18,-0.004293164,0.014527351,1.085770466,1.07833416
2008/03/19,-0.007912847,-0.006730006,1.07717893,1.071076965
2008/03/20,-0.029808769,-0.022590471,1.045069552,1.046880832
2008/03/25,0.009767214,0.021146546,1.05527697,1.069018745
2008/03/26,0.011737505,0.009657852,1.067663289,1.07934317
2008/03/27,0.006904835,0.007593624,1.075035329,1.087539295
2008/03/28,-0.000981026,-0.008504634,1.073980691,1.078290171
2008/03/31,-0.003929589,-0.014477722,1.069760388,1.062678986
2008/04/01,-0.003625827,0.001947676,1.065881622,1.064748741
2008/04/02,0.005890666,0.0146846,1.072160376,1.08038415
2008/04/03,0.010806343,0.001855544,1.083746508,1.08238885
2008/04/04,0.007915872,0.014218975,1.092325307,1.09777931
2008/04/07,0.020963542,0.014197678,1.115224314,1.113365227
2008/04/08,-0.003345279,-0.005391332,1.111493578,1.107362705
2008/04/09,0.006738939,0.002588918,1.118983865,1.110229577
2008/04/10,0.000784868,-0.012495194,1.11986212,1.096357043
2008/04/11,0.010730847,0.000161914,1.131879188,1.096534559
2008/04/14,-0.00637459,-0.010086117,1.124663922,1.085474783
2008/04/15,0.004859894,0.011072708,1.130129669,1.097493928
2008/04/16,0.006444698,0.009567841,1.137413014,1.107994576
2008/04/17,-0.010814027,-0.007164695,1.125112999,1.100056133
2008/04/18,0.003116476,0.004287884,1.128619386,1.104773046
2008/04/21,0.004427666,0.00402934,1.133616535,1.109224552
2008/04/22,-0.005420011,-0.004949526,1.127472321,1.103734416
2008/04/23,-0.001032371,-0.00259365,1.126308352,1.100871715
2008/04/24,-0.010043836,-0.014119578,1.114995895,1.085327871
2008/04/25,-0.010909305,-0.008251106,1.102832065,1.076372716
2008/04/28,0,0,1.102832065,1.076372716
2008/04/29,-0.009497173,-0.00187472,1.092358278,1.074354818
2008/04/30,-0.006545493,-0.002655809,1.085208255,1.071501538
2008/05/02,0,0,1.085208255,1.071501538
2008/05/05,0.013630859,0.001389975,1.100000576,1.072990898
2008/05/06,0.030907592,0.015731645,1.133998945,1.08987081
2008/05/07,0.007099804,0.006079556,1.142050116,1.096496741
2008/05/08,0.006323797,0.002313285,1.149272208,1.09903325
2008/05/09,0.007203812,0.00683404,1.157551349,1.106544087
2008/05/12,0.007643553,0.003011028,1.166399153,1.109875922
2008/05/13,-0.012050958,-0.005635828,1.152342926,1.103620852
2008/05/14,0.001751134,0.004711624,1.154360832,1.108820698
2008/05/15,0.004208033,0.007197512,1.15921842,1.116801449
2008/05/16,-0.001899672,0.000436623,1.157016285,1.11728907
2008/05/19,0.005798121,0.003446949,1.163724806,1.121140308
2008/05/20,0.005348841,-0.003640599,1.169949384,1.117058685
2008/05/21,0.008958494,0.00129891,1.180430369,1.118509644
2008/05/22,-0.001463497,-0.002599188,1.178702813,1.115602427
2008/05/23,-0.000946117,-0.005766014,1.177587622,1.109169848
2008/05/26,-0.000301215,-0.003463441,1.177232915,1.105328304
2008/05/27,-0.006130772,-0.002854103,1.170015568,1.102173583
2008/05/28,-0.00977221,-0.005317915,1.158581929,1.096312317
