reportDate,ang:sj,apn:sj,ari:sj,avi:sj,baw:sj,bid:sj,bvt:sj,cls:sj,cpi:sj,dcp:sj,drd:sj,dsy:sj,exx:sj,fsr:sj,gfi:sj,grt:sj,imp:sj,mrp:sj,mtm:sj,mtn:sj,ned:sj,npn:sj,ny1:sj,omu:sj,out:sj,pph:sj,rdf:sj,rem:sj,sbk:sj,shp:sj,snt:sj,sol:sj,ssw:sj,tbs:sj
30/09/2016,45.1689,30.1043,11.8758,18.8646,9.3455,6.2169,26.243,26.4527,22.8765,13.0684,50.4562,20.1307,33.9343,12.946,13.8279,13.6504,6221.6749,21.7679,17.3493,81.8903,10.6339,45.2996,,7.5615,10.9928,,11.106,15.7045,11.3052,19.0228,12.443,18.42,26.9332,18.5104
31/10/2016,45.1689,30.1043,11.8758,18.8646,9.3455,6.2169,26.243,26.4527,22.8765,13.0684,50.4562,20.1307,33.9343,12.946,13.8279,13.6504,6221.6749,16.8206,17.3493,81.8903,10.6339,45.2996,,7.5615,10.9928,,11.106,15.7045,11.3052,19.0228,12.443,18.42,26.9332,18.5104
31/12/2016,64.3463,34.6438,7.0776,18.5233,9.3455,6.2169,18.3483,26.4527,22.8765,13.0684,37.5498,21.1056,4.9428,10.806,17.7676,10.6368,6221.6749,16.8206,19.5786,81.8903,10.0492,45.2996,,7.5615,10.5286,,11.106,11.3499,10.5048,21.0979,21.3922,15.3471,6.7916,18.5104
28/02/2017,64.3463,34.6438,7.0776,18.5233,9.3455,6.2169,18.3483,30.138,25.2213,13.0684,37.5498,21.1056,4.9428,10.806,17.7676,10.6368,6221.6749,16.8206,19.5786,81.8903,10.0492,45.2996,,7.5615,10.5286,,6.9664,11.3499,10.5048,21.0979,21.3922,15.3471,6.7916,18.5104
31/03/2017,64.3463,34.6438,7.0776,18.5233,8.5239,6.2169,18.3483,30.138,25.2213,13.0684,37.5498,21.1056,4.9428,10.806,17.7676,10.6368,6221.6749,16.8206,19.5786,81.8903,10.0492,45.2996,,7.5615,10.5286,,6.9664,11.3499,10.5048,21.0979,21.3922,15.3471,6.7916,17.006
30/06/2017,64.3463,24.833,17.2339,21.8645,8.5239,24.9202,15.3364,30.138,25.2213,13.0684,129.0819,27.2084,6.2468,15.0364,38.0691,10.3686,6221.6749,16.8206,21.3771,29.9942,12.6279,45.2996,,93.596,11.1094,,6.9664,11.7698,13.3686,21.0979,22.8218,12.8745,6.7916,17.006
31/07/2017,64.3463,24.833,17.2339,21.8645,8.5239,24.9202,15.3364,30.138,25.2213,13.0684,129.0819,27.2084,6.2468,15.0364,38.0691,10.3686,6221.6749,16.8206,21.3771,29.9942,12.6279,45.2996,,93.596,11.1094,,6.9664,11.7698,13.3686,22.5383,22.8218,12.8745,6.7916,17.006
31/08/2017,64.3463,24.833,17.2339,21.8645,8.5239,24.9202,15.3364,35.8265,30.9312,29.8387,129.0819,27.2084,6.2468,15.0364,38.0691,10.3686,6221.6749,16.8206,21.3771,29.9942,12.6279,45.2996,,93.596,11.1094,,15.4846,11.7698,13.3686,22.5383,22.8218,12.8745,6.7916,17.006
30/09/2017,64.3463,24.833,17.2339,21.8645,12.2711,24.9202,15.3364,35.8265,30.9312,29.8387,129.0819,27.2084,6.2468,15.0364,38.0691,10.3686,6221.6749,25.9562,21.3771,29.9942,12.6279,27.7741,,93.596,11.1094,12.0163,15.4846,11.7698,13.3686,22.5383,22.8218,12.8745,6.7916,23.0882
31/12/2017,64.3463,19.6436,5.8497,20.4798,12.2711,21.7872,14.1498,35.8265,30.9312,29.8387,21.5162,18.891,11.3954,13.8014,38.0691,8.6783,6221.6749,25.9562,15.5494,45.1183,10.5254,27.7741,,352.0276,8.1017,12.0163,15.4846,12.7077,11.8617,21.0176,18.566,16.5955,6.7916,23.0882
28/02/2018,64.3463,19.6436,5.8497,20.4798,12.2711,21.7872,14.1498,36.4384,22.4273,29.8387,21.5162,18.891,11.3954,13.8014,38.0691,8.6783,6221.6749,25.9562,15.5494,45.1183,10.5254,27.7741,,352.0276,8.1017,12.0163,12.3257,12.7077,11.8617,21.0176,18.566,16.5955,6.7916,23.0882
31/03/2018,64.3463,19.6436,5.8497,20.4798,9.2672,21.7872,14.1498,36.4384,22.4273,29.8387,21.5162,18.891,11.3954,13.8014,38.0691,8.6783,6221.6749,25.9562,15.5494,45.1183,10.5254,27.7741,,352.0276,8.1017,19.0419,12.3257,12.7077,11.8617,21.0176,18.566,16.5955,6.7916,18.3114
30/06/2018,290.8147,10.9468,5.7862,19.197,9.2672,21.0234,18.2662,36.4384,22.4273,29.8387,203.2468,18.2467,12.6498,13.5688,38.0691,10.1401,6221.6749,25.9562,19.4805,49.0607,10.3587,27.7741,,352.0276,7.8716,19.0419,12.3257,9.421,10.8782,21.0176,15.6977,29.9274,54.6884,18.3114
31/07/2018,290.8147,10.9468,5.7862,19.197,9.2672,21.0234,18.2662,36.4384,22.4273,29.8387,203.2468,18.2467,12.6498,13.5688,38.0691,10.1401,6221.6749,25.9562,19.4805,49.0607,10.3587,27.7741,,352.0276,7.8716,19.0419,12.3257,9.421,10.8782,20.3389,15.6977,29.9274,54.6884,18.3114
31/08/2018,290.8147,10.9468,5.7862,19.197,9.2672,21.0234,18.2662,33.3034,26.4566,30.2674,203.2468,18.2467,12.6498,13.5688,38.0691,10.1401,6221.6749,25.9562,19.4805,49.0607,10.3587,27.7741,,352.0276,7.8716,19.0419,7.8539,9.421,10.8782,20.3389,15.6977,29.9274,54.6884,18.3114
